date,ticker,net_sentiment
2024-02-13,1000SATS,1.0
2024-03-06,1000SATS,-1.0
2024-05-23,1000SATS,1.0
2024-06-26,1000SATS,1.0
2024-06-30,1000SATS,1.0
2024-07-12,1000SATS,1.0
2024-07-13,1000SATS,-1.0
2024-07-15,1000SATS,1.0
2024-07-26,1000SATS,1.0
2024-08-11,1000SATS,1.0
2024-08-13,1000SATS,2.0
2024-08-16,1000SATS,1.0
2024-08-24,1000SATS,1.0
2024-08-28,1000SATS,1.0
2024-10-28,1000SATS,-1.0
2024-12-05,1000SATS,1.0
2024-12-17,1000SATS,0.0
2021-04-07,1INCH,1.0
2021-04-08,1INCH,4.0
2021-04-09,1INCH,2.0
2021-04-17,1INCH,0.0
2021-04-27,1INCH,0.0
2021-04-29,1INCH,1.0
2021-05-06,1INCH,1.0
2021-05-07,1INCH,1.0
2021-05-08,1INCH,1.0
2021-05-11,1INCH,1.0
2021-05-13,1INCH,2.0
2021-05-14,1INCH,2.0
2021-05-27,1INCH,0.0
2021-06-10,1INCH,1.0
2021-06-14,1INCH,0.0
2021-06-15,1INCH,1.0
2021-06-18,1INCH,2.0
2021-06-20,1INCH,1.0
2021-06-21,1INCH,1.0
2021-06-23,1INCH,1.0
2021-06-30,1INCH,1.0
2021-07-01,1INCH,1.0
2021-07-02,1INCH,1.0
2021-07-14,1INCH,1.0
2021-07-15,1INCH,1.0
2021-07-27,1INCH,3.0
2021-08-11,1INCH,0.0
2021-08-17,1INCH,5.0
2021-08-18,1INCH,4.0
2021-08-26,1INCH,1.0
2021-08-31,1INCH,3.0
2021-09-01,1INCH,1.0
2021-09-03,1INCH,1.0
2021-09-05,1INCH,1.0
2021-09-22,1INCH,3.0
2021-09-23,1INCH,1.0
2021-09-29,1INCH,0.0
2021-09-30,1INCH,2.0
2021-10-12,1INCH,-1.0
2021-10-14,1INCH,-1.0
2021-10-19,1INCH,1.0
2021-10-27,1INCH,9.0
2021-10-28,1INCH,1.0
2021-10-30,1INCH,1.0
2021-11-09,1INCH,1.0
2021-11-10,1INCH,0.0
2021-11-14,1INCH,0.0
2021-11-17,1INCH,1.0
2021-11-29,1INCH,1.0
2021-12-01,1INCH,9.0
2021-12-02,1INCH,1.0
2021-12-05,1INCH,-1.0
2021-12-16,1INCH,1.0
2021-12-20,1INCH,2.0
